55 11
#######################################################
#                                                     #
#                                                     #
#          #####    ##   #   ######  #####   #####    #
#          # *      # #  #   ######     #    #        #
#          #####    #  # #   ######    #     ###      #
#              #    #   ##   #    #   #      #        #
#          #####    #    #   #    #  #####   #####    #
#                                                     #
#                                                     #
#######################################################
